common常见贴图
sprite_common_activestatus.NPK                              异常状态效果
sprite_monster_power_station_kohlepowerstation_fitz_warrior.NPK          业火之菲茨
sprite_monster_power_station_no3_station.NPK           科雷发电站主线任务涉及到的怪
sprite_monster_power_station_no3_station_effect.NPK科雷发电站的怪死后变成减MP的紫点
sprite_monster_power_station_no3_station_granite_fly.NPK           科雷发电站的怪
sprite_monster_power_station_no3_station_granite_great.NPK       科雷发电站的怪
sprite_monster_power_station_no3_station_granite_t.NPK               科雷发电站的怪
sprite_monster_power_station_no3_station_ma_squid.NPK             发电站里的章鱼
sprite_monster_power_station_no3_station_paris.NPK              闪电之帕特里斯
sprite_monster_power_station_no3_station_patris.NPK                 闪电之帕特里斯
sprite_monster_power_station_no3_station_river.NPK                   闪电之帕特里斯
sprite_monster_queen_rosi.NPK                               冰之女王
sprite_monster_ranjerus.NPK                                 兰蒂卢斯的鹰犬的怪物
sprite_monster_ranjerus_baricate.NPK                  兰蒂卢斯的鹰犬地图的电网
sprite_monster_riding_at_5t.NPK                             AT-5T步行者
sprite_monster_riding_gatling_tower.NPK                     加特林机枪炮塔
sprite_monster_scarecrow.NPK                                稻草人
sprite_monster_scasa.NPK                                    冰龙斯卡萨
sprite_monster_screamingcave.NPK                            悲鸣骷髅凯恩
sprite_monster_screamingcave_apopis.NPK                     悲鸣魔剑阿波菲斯
sprite_monster_screamingcave_hardy.NPK                      悲鸣血风暴哈迪
sprite_monster_screamingcave_highspectresslene.NPK          悲鸣空中幽灵琳恩
sprite_monster_sealstone.NPK                                暗影迷宫的封印石
sprite_monster_shonan.npk                         武斗大会的怪物和攻击特效
sprite_monster_silverspoon.NPK                              补给线阻断战的怪物
sprite_monster_skeleton.NPK                   骷髅众（还有悲鸣虫子和光圈）
sprite_monster_skeleton_change.NPK                          堕落守护者的无敌形态
sprite_monster_skeleton_equipment.NPK                       骷髅的装备
sprite_monster_skeleton_magicmirror.NPK                     骸德的镜子
sprite_monster_skeleton_sleep.NPK                           堕落守护者的地面攻击
sprite_monster_skeleton_stick.NPK                           堕落守护者的法杖
sprite_monster_skeleton_stone.NPK                           岩石骷髅的落石
sprite_monster_skillhuntress.NPK                            魔女莉莉斯
sprite_monster_slime.NPK                                    史莱姆众
sprite_monster_slotor.NPK                                   寒冰蜘蛛
sprite_monster_snowman.NPK                                  猩猩众
sprite_monster_soceress.NPK                                 魔女众
sprite_monster_soldier.NPK                                  驱逐者众的身体
sprite_monster_soldier_axeexpeller.NPK                      斧之驱逐者的零件
sprite_monster_soldier_axionexpeller.NPK                    阿克雄的零件
sprite_monster_soldier_expeller.NPK                         驱逐者的零件
sprite_monster_soldier_guard.NPK                            王之五骑士的零件
sprite_monster_soldier_hammerking.NPK                       锤王波罗丁
sprite_monster_soldier_heavenexpeller.NPK                   天之驱逐者的零件
sprite_monster_soldier_legionexpeller.NPK                   勒格恩的零件
sprite_monster_soldier_passiveobject.NPK            驱逐者众受攻击时的碎片和苏醒动作
sprite_monster_soldier_sandorexpeller.NPK                   桑德尔的零件
sprite_monster_soldier_sandorexpellerex.NPK               驱逐者
sprite_monster_soldier_tsmexpeller.NPK                      侍剑骑兵的零件
sprite_monster_spacefish.NPK                                空骨鱼
sprite_monster_spider.NPK                                   蜘蛛众
sprite_monster_spikeking.NPK                      貌似是光之城主赛格哈特
sprite_monster_spikeking_effect.NPK                  貌似是光之城主赛格哈特D特效
sprite_monster_spirit.NPK                       白色废墟个个火精灵D攻击特效
sprite_monster_spirit_fire_higher.NPK                     白色废墟个个火精灵
sprite_monster_spirit_spiritex.NPKK                     白色废墟个个火精灵D特效
sprite_monster_starfish.NPK                                 章鱼众
sprite_monster_statue.NPK                                   妖变的石像
sprite_monster_succubus.NPK                                 迷妄12层的那两只
sprite_monster_suspicion.NPK                                独眼巨人
sprite_monster_tau.NPK                                      牛头怪众
sprite_monster_tau_equipment.NPK                            牛头怪的装备
sprite_monster_thief.NPK                                    盗贼众
sprite_monster_timegate.npk                               卡勒特之初D怪
sprite_monster_timegate_beginning.NPK            凛冬D怪
sprite_monster_timegate_conflagration.NPK         格兰之火D怪
sprite_monster_timegate_consciousness.NPK          迷之觉悟D怪
sprite_monster_timegate_epidemic.NPK                    瘟疫之地D怪
sprite_monster_timegate_parasite.NPK                      时空之门D怪
sprite_monster_timegate_timelord.NPK                     时空领主
sprite_monster_timegate_topsecretarea.NPK            绝密区域D怪
sprite_monster_timegate_topsecretarea_allusion.NPK      绝密区域某眼睛
sprite_monster_timegate_topsecretarea_effect.NPK           绝密区域某冰块
sprite_monster_timegate_topsecretarea_observer.NPK      绝密区域某眼睛
sprite_monster_toy.NPK                                      查理的玩具
sprite_monster_toy_hiddentoy.NPK                            四个特殊玩具兵
sprite_monster_toy_passiveobject.NPK                        玩具兵的飞行道具
sprite_monster_trowgoblin.NPK                               哥布林投石车
sprite_monster_vehicle.NPK                                  各种龙头炮和锯角撞车
sprite_monster_witch.NPK                                    疑惑之村的魔女众
sprite_monster_wraith.NPK                                   女妖众
sprite_monster_young_scasa.NPK                       年轻斯卡萨
sprite_monster_zealot.NPK                                   GBL教徒众
sprite_monster_zealotrebirth.NPK                            复活的GBL教徒众
sprite_monster_zepplin.NPK                                  多尼尔众
sprite_monster_zig.NPK                                         王者号令：吉格降临
sprite_monster_zombie.NPK                                   僵尸众

pet宠物
sprite_pet_common.NPK                      宠物通用效果、宠物装备、粮食、蛋图
sprite_pet_falcon.NPK                                       无尽的猫头鹰

temp临时贴图
sprite_temp.NPK                                         里面只有一个DNFico
sprite_temp_2006worldcupevent.NPK                           韩服世界杯活动

worldmap地图
sprite_worldmap.NPK                                         副本选择的背景
sprite_worldmap_act1.NPK                        洛兰和格兰之森的地图选择
sprite_worldmap_act2.NPK                             天空之城的地图选择
sprite_worldmap_act3.NPK                          天帷巨兽神殿的地图选择
sprite_worldmap_act4.NPK                                    暗黑城的地图选择
sprite_worldmap_act5.NPK                                    万年雪山的地图选择
sprite_worldmap_act6.NPK                                    诺斯玛尔的地图选择
sprite_worldmap_act7.NPK                              安特贝鲁峡谷的地图选择
sprite_worldmap_impossible.NPK                              异次元裂缝的地图选择
sprite_worldmap_selectdungeonslot.NPK                       新版副本选择
sprite_worldmap_selectdungeonslot_advancealtar.NPK          守护者祭坛的地图选择
sprite_worldmap_towers.NPK                                  亡者峡谷的地图选择
sprite_worldmap_village_cartel.NPK                          陌路者要塞的地图选择
sprite_worldmap_village_gbl.NPK                             堕落之殿的地图选择
sprite_worldmap_village_grim.NPK                         格兰之森山麓的地图选择
sprite_worldmap_village_moonlightpub.NPK                    月光酒吧的地图选择
